# пример
имя-шмота,имя-шмота,имя-шмота,имя-шмота,имя-шмота,имя-шмота,имя-шмота,имя-шмота
имя-шмота,имя-шмота,имя-шмота,имя-шмота,имя-шмота,имя-шмота,имя-шмота,имя-шмота
имя-шмота,имя-шмота,имя-шмота,имя-шмота,имя-шмота,имя-шмота,имя-шмота,имя-шмота
имя-шмота,имя-шмота,имя-шмота,имя-шмота,имя-шмота,empty    ,empty    ,имя-шмота
empty    ,имя-шмота,имя-шмота,имя-шмота,empty    ,имя-шмота,имя-шмота,имя-шмота
имя-шмота,имя-шмота,имя-шмота,имя-шмота,имя-шмота,имя-шмота,имя-шмота,имя-шмота

# Комментарий (только строка целиком)
# Большой сундук - это размер 9х6
# Пустые ячейки должны быть описаны как empty

